cluster_id,source_task,seed,generation,individual_idx,direction_deg,peak_g_e_us,peak_g_e_time_ms,peak_g_i_us,peak_g_i_time_ms,gi_ge_ratio_at_peak_ge,g_i_onset_latency_ms,n_spikes,mean_v_m_mv,max_v_m_mv
2,t0114_seed7755_no_autostop,7755,54,5140,0,0.02009824469854337,172.0,0.07867959415212365,174.0,3.3830962036833796,69.0,0,-43.39264101052039,-35.0951159663907
2,t0114_seed7755_no_autostop,7755,54,5140,180,0.011082314208962269,18.0,0.37410065759010375,26.0,30.215838720364577,8.0,0,-43.39458467563584,-37.84346964386762
2,t0114_seed7755_no_autostop,7755,13,1227,0,0.059035447888942424,47.0,0.17577309685492482,42.0,2.5896129040638667,19.0,2,-68.19236319317439,-9.454402159656583
2,t0114_seed7755_no_autostop,7755,13,1227,180,0.04590859426769943,34.0,1.5249792621678402,42.0,27.42605560750019,15.0,0,-67.5550477875258,-10.958953644188604
2,t0114_seed7755_no_autostop,7755,8,683,0,0.03789201077988527,138.0,0.10406834261031185,98.0,1.7147635254109748,40.0,0,-46.31969191316432,-18.590752735887936
2,t0114_seed7755_no_autostop,7755,8,683,180,0.026923334073233184,33.0,0.7014460951145058,37.0,25.2651347281179,11.0,0,-46.083408532216005,-20.59624948671318
2,t0114_seed7755_no_autostop,7755,21,1983,0,0.14977072015007684,67.0,0.08678948028547347,48.0,0.5300183600541005,34.0,0,-44.22422314839631,-22.91455705641833
2,t0114_seed7755_no_autostop,7755,21,1983,180,0.1465990114048157,24.0,0.8447103910831667,46.0,4.605325739165129,11.0,0,-44.13756077441268,-14.816834989923414
2,t0114_seed7755_no_autostop,7755,47,4448,0,0.024743281437774413,55.0,0.049393729978566364,272.0,0.9889852104386427,54.0,0,-43.67673452710585,-17.961944308045123
2,t0114_seed7755_no_autostop,7755,47,4448,180,0.020272221213761554,52.0,0.4874721742316691,31.0,12.187741535770229,9.0,0,-43.674232427807056,-22.619094776418244
2,t0114_seed7755_no_autostop,7755,49,4612,0,0.01765691510509514,57.0,0.07371445540770287,201.0,2.0088293950080143,38.0,0,-43.67765575822821,-22.466995383281244
2,t0114_seed7755_no_autostop,7755,49,4612,180,0.01682668897677721,9.0,0.33828640936727733,31.0,10.728834987336448,6.0,0,-43.678519938446804,-24.45103827507803
3,t0115_seed9354_no_autostop,9354,3,244,0,0.039079679048595946,86.0,0.004948994431928075,297.0,0.056153204858680944,97.0,0,-75.06697982809283,-12.00090317585628
3,t0115_seed9354_no_autostop,9354,3,244,180,0.029274605474591906,28.0,0.005035647358926597,40.0,0.1430894195085976,9.0,0,-75.07842003392348,-12.110973224941763
3,t0115_seed9354_no_autostop,9354,2,98,0,0.04125342876959578,63.0,0.03927141605208911,238.0,0.018768253117347165,191.0,11,-73.26978745026186,2.653964943201565
3,t0115_seed9354_no_autostop,9354,2,98,180,0.035992109217307,39.0,0.06617955884316416,31.0,1.5385971869927644,11.0,5,-73.35817438826992,2.123031568766372
3,t0115_seed9354_no_autostop,9354,7,663,0,0.04120930289260367,88.0,0.041167672066674627,92.0,0.9254020660016774,74.0,13,-75.6635537868706,2.524237357893334
3,t0115_seed9354_no_autostop,9354,7,663,180,0.049137783448474075,18.0,0.2260300186704923,33.0,4.004269802156964,8.0,11,-75.71768431302287,2.0146736078762544
3,t0115_seed9354_no_autostop,9354,7,653,0,0.15811142073155093,89.0,0.0018993125772499054,117.0,0.006578852788262531,67.0,5,-68.11278918982558,-4.756023572785555
3,t0115_seed9354_no_autostop,9354,7,653,180,0.17651501404545422,13.0,0.009475914982626558,22.0,0.04500173948757023,6.0,14,-68.03542552502162,-4.608193018226483
3,t0115_seed9354_no_autostop,9354,30,2866,0,0.14132885485225583,88.0,0.029601229617502764,149.0,0.14722384068632283,81.0,3,-63.610533024613375,-9.41558980888514
3,t0115_seed9354_no_autostop,9354,30,2866,180,0.14796071812705086,19.0,0.1242372955644692,30.0,0.7311134008032586,8.0,2,-63.55207821091631,-9.514768875141932
3,t0112_t0106_seed77_replicate,77,7,651,0,0.18671193570728284,72.0,0.03238915563050377,58.0,0.08780816104966324,27.0,9,-81.48624301829184,18.32932656163622
3,t0112_t0106_seed77_replicate,77,7,651,180,0.22173000992947345,34.0,0.2270240794299814,48.0,0.9217262298126305,14.0,9,-81.47725847627629,9.645326162363004
3,t0115_seed9354_no_autostop,9354,6,500,0,0.09937958837387102,117.0,0.016284104226287052,221.0,0.061365562419289456,44.0,3,-72.67050913718006,-3.7094624179006512
3,t0115_seed9354_no_autostop,9354,6,500,180,0.05535150988324989,10.0,0.07365868737509003,19.0,1.070347658541818,8.0,4,-72.90466830582498,-9.512453865586107
3,t0115_seed9354_no_autostop,9354,5,395,0,0.025241871111209388,62.0,0.011275374520017797,72.0,0.4417059406548161,56.0,7,-70.05019357996876,-4.993092718108731
3,t0115_seed9354_no_autostop,9354,5,395,180,0.027829808200028453,27.0,0.06715262531378909,31.0,1.969263941358127,18.0,7,-70.14106031963317,-4.202822019112055
3,t0115_seed9354_no_autostop,9354,17,1570,0,0.23221125709019813,66.0,0.02206144023251096,119.0,0.039119079680341416,63.0,14,-72.54455278913376,5.349898957783239
3,t0115_seed9354_no_autostop,9354,17,1570,180,0.20698504068372067,21.0,0.12203387094360993,26.0,0.5570830444794349,7.0,18,-72.53225497349766,5.023821669897039
3,t0115_seed9354_no_autostop,9354,16,1454,0,0.06527106825255691,117.0,0.022745244822882957,141.0,0.04845305799397158,73.0,0,-65.12787078926635,-11.003152908050584
3,t0115_seed9354_no_autostop,9354,16,1454,180,0.062090678738985244,20.0,0.0952324110070636,31.0,1.2331644490032279,11.0,0,-65.11007809554758,-10.990902054361849
