gampa_ns,gaba_base_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
3.000000,0.200000,300,10006,176,102.1252,-20.0165
3.000000,0.200000,300,10006,184,102.1586,-19.8556
3.000000,0.200000,300,10006,192,102.2405,-19.4840
3.000000,0.200000,300,10006,200,102.4567,-18.6873
3.000000,0.200000,300,10006,208,102.5557,-18.4150
3.000000,0.200000,300,10006,216,102.6714,-18.1611
3.000000,0.200000,300,10006,224,102.8251,-17.9202
3.000000,0.200000,300,10006,232,102.8936,-17.8405
3.000000,0.200000,300,10006,240,102.9629,-17.7702
3.000000,0.200000,300,10006,248,103.1283,-17.6373
3.000000,0.200000,300,10006,256,103.2382,-17.5833
3.000000,0.200000,300,10006,264,103.3259,-17.5576
3.000000,0.200000,300,10006,272,103.5118,-17.5470
3.000000,0.200000,300,10006,280,103.6642,-17.5764
3.000000,0.200000,300,10006,288,103.9453,-17.7310
3.000000,0.200000,300,10006,296,104.0260,-17.8009
3.000000,0.200000,300,10006,304,104.1155,-17.8868
3.000000,0.200000,300,10006,312,104.1606,-17.9313
3.000000,0.200000,300,10006,320,104.2872,-18.0564
3.000000,0.200000,300,10006,328,104.3713,-18.1406
3.000000,0.200000,300,10006,336,104.4495,-18.2173
3.000000,0.200000,300,10006,344,104.5539,-18.3163
3.000000,0.200000,300,10006,352,104.7974,-18.5417
3.000000,0.200000,300,10006,360,105.3850,-19.3363
3.000000,0.200000,300,10006,368,105.4634,-19.4848
3.000000,0.200000,300,10006,376,105.5447,-19.6445
3.000000,0.200000,300,10006,384,105.5997,-19.7526
3.000000,0.200000,300,10006,392,105.7213,-19.9766
3.000000,0.200000,300,10006,400,105.7765,-20.0722
3.000000,0.200000,300,10006,408,105.9054,-20.2617
3.000000,0.200000,300,10006,416,106.1138,-20.5269
3.000000,0.200000,300,10006,424,106.3092,-20.7518
3.000000,0.200000,300,10006,432,106.3621,-20.8125
3.000000,0.200000,300,10006,440,106.5059,-20.9805
3.000000,0.200000,300,10006,448,106.9176,-21.5393
3.000000,0.200000,300,10006,456,106.9985,-21.6672
3.000000,0.200000,300,10006,464,107.2975,-22.1645
3.000000,0.200000,300,10006,472,107.3138,-22.1942
3.000000,0.200000,300,10006,480,107.4768,-22.4719
3.000000,0.200000,300,10006,488,108.0198,-23.4203
3.000000,0.200000,300,10006,496,108.7071,-25.1139
3.000000,0.200000,300,10006,504,108.8287,-25.4718
3.000000,0.200000,300,10006,512,109.2032,-26.5810
3.000000,0.200000,300,10006,520,109.3003,-26.8690
3.000000,0.200000,300,10006,528,109.3909,-27.1309
3.000000,0.200000,300,10006,536,109.6028,-27.6942
3.000000,0.200000,300,10006,544,110.0421,-28.7615
3.000000,0.200000,300,10006,552,110.0727,-28.8365
3.000000,0.200000,300,10006,560,110.1621,-29.0484
3.000000,0.200000,300,10006,568,110.3172,-29.3813
3.000000,0.200000,300,10006,576,110.3311,-29.4091
3.000000,0.200000,300,10006,584,110.4285,-29.5764
3.000000,0.200000,300,10006,592,110.7703,-29.8629
3.000000,0.200000,300,10006,600,110.9720,-29.9539
3.000000,0.200000,300,10006,608,111.1091,-30.0014
3.000000,0.200000,300,10006,616,111.1318,-30.0073
3.000000,0.200000,300,10006,624,111.1887,-30.0198
3.000000,0.200000,300,10006,632,111.2973,-30.0217
3.000000,0.200000,300,10006,640,111.5905,-29.9418
3.000000,0.200000,300,10006,648,111.6405,-29.9296
3.000000,0.200000,300,10006,656,111.9319,-29.8704
3.000000,0.200000,300,10006,664,112.4931,-30.0879
3.000000,0.200000,300,10006,672,112.5383,-30.1310
3.000000,0.200000,300,10006,680,112.8079,-30.3903
3.000000,0.200000,300,10006,688,113.5090,-31.4766
3.000000,0.200000,300,10006,696,113.5494,-31.5614
3.000000,0.200000,300,10006,704,113.7442,-31.9558
3.000000,0.200000,300,10006,712,114.2753,-33.0694
3.000000,0.200000,300,10006,720,114.4081,-33.3833
3.000000,0.200000,300,10006,728,114.5661,-33.7606
3.000000,0.200000,300,10006,736,114.6106,-33.8638
3.000000,0.200000,300,10006,744,114.9093,-34.4694
3.000000,0.200000,300,10006,752,115.1774,-34.9426
3.000000,0.200000,300,10006,760,115.2212,-35.0183
3.000000,0.200000,300,10006,768,115.2764,-35.1044
3.000000,0.200000,300,10006,776,115.5434,-35.3951
3.000000,0.200000,300,10006,784,115.6871,-35.5115
3.000000,0.200000,300,10006,792,115.8269,-35.6126
3.000000,0.200000,300,10006,800,116.2843,-35.8803
3.000000,0.200000,300,10006,808,117.0856,-36.8439
3.000000,0.200000,300,10006,816,117.8240,-38.4617
3.000000,0.200000,300,10006,824,117.9119,-38.6795
3.000000,0.200000,300,10006,832,118.2594,-39.4339
3.000000,0.200000,300,10006,840,118.3460,-39.6143
3.000000,0.200000,300,10006,848,118.3946,-39.7140
3.000000,0.200000,300,10006,856,118.4378,-39.7978
3.000000,0.200000,300,10006,864,118.6401,-40.1049
3.000000,0.200000,300,10006,872,118.9221,-40.3945
3.000000,0.200000,300,10006,880,118.9689,-40.4348
3.000000,0.200000,300,10006,888,119.2404,-40.5659
3.000000,0.200000,300,10006,896,119.9772,-40.9714
3.000000,0.200000,300,10006,904,121.0416,-42.6412
3.000000,0.200000,300,10006,912,121.0934,-42.7502
3.000000,0.200000,300,10006,920,121.3573,-43.2595
3.000000,0.200000,300,10006,928,122.0420,-44.3973
3.000000,0.200000,300,10006,936,122.4911,-45.2173
3.000000,0.200000,300,10006,944,122.6313,-45.4809
3.000000,0.200000,300,10006,952,123.0264,-46.0828
3.000000,0.200000,300,10006,960,123.7440,-47.0827
3.000000,0.200000,300,10006,968,123.7939,-47.1588
3.000000,0.200000,300,10006,976,124.0159,-47.4577
3.000000,0.200000,300,10006,984,124.5981,-48.0366
3.000000,0.200000,300,10006,992,125.9315,-49.8129
3.000000,0.200000,300,10006,1000,127.9566,-53.6399
3.000000,0.200000,300,10006,1008,127.9740,-53.6734
3.000000,0.200000,300,10006,1016,128.0701,-53.8511
3.000000,0.200000,300,10006,1024,128.4523,-54.3465
3.000000,0.200000,300,10006,1032,128.7295,-54.5785
3.000000,0.200000,300,10006,1040,128.7879,-54.6211
3.000000,0.200000,300,10006,1048,129.0226,-54.7144
3.000000,0.200000,300,10006,1056,129.7130,-54.6054
3.000000,0.200000,300,10006,1064,129.7337,-54.6021
3.000000,0.200000,300,10006,1072,129.8509,-54.5767
3.000000,0.200000,300,10006,1080,130.2506,-54.3664
3.000000,0.200000,300,10006,1088,131.0166,-54.0250
3.000000,0.200000,300,10006,1096,132.5331,-54.7097
3.000000,0.200000,300,10006,1104,134.8443,-57.4451
3.000000,0.200000,300,10006,1112,139.1833,-61.8132
3.000000,0.200000,300,10006,1120,146.3372,-64.3028
3.000000,0.200000,300,10006,1128,155.7343,-64.7400
3.000000,0.200000,300,10006,1136,174.5837,-64.7738
3.000000,0.200000,300,10006,1144,235.4555,-64.7735
3.000000,0.200000,300,10007,0,0.0000,-65.0000
3.000000,0.200000,300,10007,8,0.0654,-64.9915
3.000000,0.200000,300,10007,16,0.7270,-64.9524
3.000000,0.200000,300,10007,24,6.3810,-64.8070
3.000000,0.200000,300,10007,32,24.0332,-64.7738
3.000000,0.200000,300,10007,40,84.4137,-64.7735
3.000000,0.200000,300,10007,48,100.0066,-64.7708
3.000000,0.200000,300,10007,56,100.0326,-64.6783
3.000000,0.200000,300,10007,64,100.0535,-64.5014
3.000000,0.200000,300,10007,72,100.0955,-63.9046
3.000000,0.200000,300,10007,80,100.2253,-60.5408
3.000000,0.200000,300,10007,88,100.4896,-50.7191
3.000000,0.200000,300,10007,96,100.9676,-35.1888
3.000000,0.200000,300,10007,104,101.0051,-34.2658
3.000000,0.200000,300,10007,112,101.2464,-29.2475
3.000000,0.200000,300,10007,120,101.3135,-28.1234
3.000000,0.200000,300,10007,128,101.3396,-27.7135
3.000000,0.200000,300,10007,136,101.3770,-27.1482
3.000000,0.200000,300,10007,144,101.4316,-26.3632
3.000000,0.200000,300,10007,152,101.5564,-24.7532
3.000000,0.200000,300,10007,160,101.5985,-24.2615
3.000000,0.200000,300,10007,168,101.8959,-21.4424
3.000000,0.200000,300,10007,176,102.1252,-20.0165
3.000000,0.200000,300,10007,184,102.1586,-19.8556
3.000000,0.200000,300,10007,192,102.2405,-19.4840
3.000000,0.200000,300,10007,200,102.4567,-18.6873
3.000000,0.200000,300,10007,208,102.5557,-18.4150
3.000000,0.200000,300,10007,216,102.6714,-18.1611
3.000000,0.200000,300,10007,224,102.8251,-17.9202
3.000000,0.200000,300,10007,232,102.8936,-17.8405
3.000000,0.200000,300,10007,240,102.9629,-17.7702
