b2gnmda_ns,direction,t_ms,v_mv
0.0,PD,131.75,-55.33740468659035
0.0,PD,132.0,-55.42610144130842
0.0,PD,132.25,-54.0758656530435
0.0,PD,132.5,-53.4620775504292
0.0,PD,132.75,-53.2777121483284
0.0,PD,133.0,-53.30682146002976
0.0,PD,133.25,-52.89522890719608
0.0,PD,133.5,-52.7132978971573
0.0,PD,133.75,-52.74048591157282
0.0,PD,134.0,-52.89351690552634
0.0,PD,134.25,-52.76905968462962
0.0,PD,134.5,-52.72823006686843
0.0,PD,134.75,-52.8401138686554
0.0,PD,135.0,-53.046425741361496
0.0,PD,135.25,-53.057496404847434
0.0,PD,135.5,-53.08888678160572
0.0,PD,135.75,-53.21501741733626
0.0,PD,136.0,-53.41857768563496
0.0,PD,136.25,-52.79571636252972
0.0,PD,136.5,-52.54347931335533
0.0,PD,136.75,-52.55428256517647
0.0,PD,137.0,-52.70617275695341
0.0,PD,137.25,-51.97935080944151
0.0,PD,137.5,-51.84183896358341
0.0,PD,137.75,-51.974250241395985
0.0,PD,138.0,-52.237439681323025
0.0,PD,138.25,-51.831859878191324
0.0,PD,138.5,-51.66977160780219
0.0,PD,138.75,-51.729534288323585
0.0,PD,139.0,-51.92859848768073
0.0,PD,139.25,-51.73122883719533
0.0,PD,139.5,-51.66480107277888
0.0,PD,139.75,-51.79161933609709
0.0,PD,140.0,-52.035007855169795
0.0,PD,140.25,-51.635791617849485
0.0,PD,140.5,-51.61879885404026
0.0,PD,140.75,-51.78069302362787
0.0,PD,141.0,-52.0492799956933
0.0,PD,141.25,-51.886827971033355
0.0,PD,141.5,-51.87364749476946
0.0,PD,141.75,-52.02908569196838
0.0,PD,142.0,-52.28262690909633
0.0,PD,142.25,-51.470247948712625
0.0,PD,142.5,-51.320191949777005
0.0,PD,142.75,-51.478532883436785
0.0,PD,143.0,-51.77508876315913
0.0,PD,143.25,-52.01333197716074
0.0,PD,143.5,-52.23553368850473
0.0,PD,143.75,-52.513967286464656
0.0,PD,144.0,-52.840504805034065
0.0,PD,144.25,-52.772332643045495
0.0,PD,144.5,-52.870905834353294
0.0,PD,144.75,-53.095253293681736
0.0,PD,145.0,-53.38329203994051
0.0,PD,145.25,-53.173708985038154
0.0,PD,145.5,-53.15759110085737
0.0,PD,145.75,-53.2950201980312
0.0,PD,146.0,-53.53172243319199
0.0,PD,146.25,-53.382394288395034
0.0,PD,146.5,-53.4774706714277
0.0,PD,146.75,-53.68724337940415
0.0,PD,147.0,-53.9692201151155
0.0,PD,147.25,-53.7390554158125
0.0,PD,147.5,-53.82071348430522
0.0,PD,147.75,-54.038448034049054
0.0,PD,148.0,-54.32367411905022
0.0,PD,148.25,-54.58014361336031
0.0,PD,148.5,-54.7334683849544
0.0,PD,148.75,-54.91609685772809
0.0,PD,149.0,-55.13552551726878
0.0,PD,149.25,-54.32149515213355
0.0,PD,149.5,-53.97771575863606
0.0,PD,149.75,-53.930148465631014
0.0,PD,150.0,-54.04122162100677
0.0,PD,150.25,-52.614567409001246
0.0,PD,150.5,-52.09949640821368
0.0,PD,150.75,-52.011799256353946
0.0,PD,151.0,-52.13606898909214
0.0,PD,151.25,-52.299106212147485
0.0,PD,151.5,-52.39309075214181
0.0,PD,151.75,-52.57627763165171
0.0,PD,152.0,-52.83382788221242
0.0,PD,152.25,-52.27811272632282
0.0,PD,152.5,-52.21371032614929
0.0,PD,152.75,-52.38514631696847
0.0,PD,153.0,-52.673362824537314
0.0,PD,153.25,-52.581871237001224
0.0,PD,153.5,-52.60461736565638
0.0,PD,153.75,-52.79935806616443
0.0,PD,154.0,-53.085267504227225
0.0,PD,154.25,-52.49402085450341
0.0,PD,154.5,-52.31228085433518
0.0,PD,154.75,-52.40217485950417
0.0,PD,155.0,-52.63081311573717
0.0,PD,155.25,-52.534549967329696
0.0,PD,155.5,-52.647055450511246
0.0,PD,155.75,-52.89237185487316
0.0,PD,156.0,-53.20528299255784
0.0,PD,156.25,-52.59915767995112
0.0,PD,156.5,-52.44005092177294
0.0,PD,156.75,-52.54930091316647
0.0,PD,157.0,-52.78827421603879
0.0,PD,157.25,-52.27183340912257
0.0,PD,157.5,-52.17343083877993
0.0,PD,157.75,-52.33216849690702
0.0,PD,158.0,-52.61840530113815
0.0,PD,158.25,-52.235693969253745
0.0,PD,158.5,-52.243251786411214
0.0,PD,158.75,-52.444743133295034
0.0,PD,159.0,-52.7497181390923
0.0,PD,159.25,-52.710589453659566
0.0,PD,159.5,-52.71798799657891
0.0,PD,159.75,-52.871382945861676
0.0,PD,160.0,-53.12682336868541
0.0,PD,160.25,-52.664254496372656
0.0,PD,160.5,-52.62374545847586
0.0,PD,160.75,-52.79347004367986
0.0,PD,161.0,-53.07644848520959
0.0,PD,161.25,-53.20041028296764
0.0,PD,161.5,-53.299685438919276
0.0,PD,161.75,-53.49534133654433
0.0,PD,162.0,-53.759612737985776
0.0,PD,162.25,-53.627379111020005
0.0,PD,162.5,-53.764517801692755
0.0,PD,162.75,-54.0222097998757
0.0,PD,163.0,-54.334610637686865
0.0,PD,163.25,-54.399333327749915
0.0,PD,163.5,-54.516787925928284
0.0,PD,163.75,-54.70856462812842
0.0,PD,164.0,-54.95361642337247
0.0,PD,164.25,-54.384176904271584
0.0,PD,164.5,-54.327256647296736
0.0,PD,164.75,-54.47245766488366
0.0,PD,165.0,-54.71110432166854
0.0,PD,165.25,-54.35775030193559
0.0,PD,165.5,-54.35474018632299
0.0,PD,165.75,-54.52293324917956
0.0,PD,166.0,-54.77126595674714
0.0,PD,166.25,-54.53922893325526
0.0,PD,166.5,-54.573161273103224
0.0,PD,166.75,-54.7638042442073
0.0,PD,167.0,-55.02863646028908
0.0,PD,167.25,-54.610059721832116
0.0,PD,167.5,-54.50951616083399
0.0,PD,167.75,-54.61575294372916
0.0,PD,168.0,-54.82588681835072
0.0,PD,168.25,-54.305490703836405
0.0,PD,168.5,-53.92297973424633
0.0,PD,168.75,-53.82088915323166
0.0,PD,169.0,-53.9059591994798
0.0,PD,169.25,-53.863506572915355
0.0,PD,169.5,-53.858521517371834
0.0,PD,169.75,-53.9876121175298
0.0,PD,170.0,-54.2087676125658
0.0,PD,170.25,-53.55665088260757
0.0,PD,170.5,-53.2224883533987
0.0,PD,170.75,-53.19600921731396
0.0,PD,171.0,-53.34927044149318
0.0,PD,171.25,-53.14731395287251
0.0,PD,171.5,-53.08243498117744
0.0,PD,171.75,-53.18403994818265
0.0,PD,172.0,-53.401532435506255
0.0,PD,172.25,-53.222091818667245
0.0,PD,172.5,-53.1776245055104
0.0,PD,172.75,-53.281341177396996
0.0,PD,173.0,-53.493348633519865
0.0,PD,173.25,-53.3543317417115
0.0,PD,173.5,-53.42688042898913
