condition,flicker_var,direction,trial_seed,peak_psp_mv,baseline_mean_mv,peak_g_nmda_summed_ns,peak_g_ampa_summed_ns,peak_g_sacexc_summed_ns,peak_g_sacinhib_summed_ns
0Mg,0.0,PD,12002,22.3379739647849,6.031821466064564,51.0135721732113,10.980749197924847,14.453424204010018,105.46651205305159
0Mg,0.0,PD,12003,22.590843740797837,6.154860771661127,49.94610222284551,11.302408849248453,15.13978848941547,112.1246808710666
0Mg,0.0,ND,12010,19.195398175783026,5.980250920916866,50.48969974298638,10.621444249395449,15.606386682846262,212.422297474983
0Mg,0.0,ND,12011,18.135575258276255,5.9292752500431405,51.68974348688258,11.861537829518607,15.047276764980854,211.02909874878623
0Mg,0.0,ND,12012,18.705641218496538,5.791157576950312,49.61669403968808,11.052200340516553,14.020472339184959,218.2704090561376
0Mg,0.0,ND,12013,19.053673233864316,5.832241711268395,50.10217305078249,10.559150315139776,16.23253564571909,211.2035187464718
0Mg,0.1,PD,12100,22.523278247645955,6.23468170287844,51.04276564529043,10.947767088660175,18.96209053063197,122.14081359851939
0Mg,0.1,PD,12101,21.742537060160913,10.070523694532447,44.47053539647878,9.797745968203065,14.996551826368787,98.82374067337447
0Mg,0.1,PD,12102,22.37335594697111,13.39114322389122,52.712216239512195,11.849531077595728,21.403103126480296,117.10601616813051
0Mg,0.1,PD,12103,20.850073266372704,9.718505634460769,47.56477921961077,10.700032154175195,18.193866025114996,118.00702553315574
0Mg,0.1,ND,12110,19.081445378104583,9.309437074079547,55.07349087649295,12.010105234545081,21.355764007291107,229.55872397953294
0Mg,0.1,ND,12111,18.554085082875453,10.24174930401874,50.148815975193436,11.800945525625055,14.743114204652914,219.95959021205564
0Mg,0.1,ND,12112,19.60640790963896,5.904922788297071,48.76691192861482,10.86309220919509,15.55633867945982,195.0779763234406
0Mg,0.1,ND,12113,18.026600565509483,7.66953286896095,55.00484529099723,11.525773140372495,16.608606991932806,236.000037991335
0Mg,0.3,PD,12200,23.029887947489428,10.416457256074644,62.421160480575274,14.17263816706882,21.171160414062076,144.44945528855982
0Mg,0.3,PD,12201,21.301758668978565,13.02585247092378,50.87305395577293,10.64497561471409,17.49943762816035,123.06684393804845
0Mg,0.3,PD,12202,21.526094363587674,8.051599541542714,59.96290171403521,14.64136122256611,22.156037626328406,149.3970822102626
0Mg,0.3,PD,12203,21.851305365119394,15.745827234139696,51.070795197083804,11.528024775207909,34.399491661400994,196.24179625886993
0Mg,0.3,ND,12210,18.857281202282323,13.010353730480205,49.86461090788454,11.718444179715814,17.616211568927927,204.27015334259553
0Mg,0.3,ND,12211,19.674704739561093,13.731271423911501,43.74433126845542,9.347793224838952,22.625873650022214,190.72672939426008
0Mg,0.3,ND,12212,18.502361436507428,8.34688972956203,38.73314418477387,8.438954381910886,19.383828742803647,159.83514340502066
0Mg,0.3,ND,12213,18.465692738099243,12.083454434867754,46.56807194978186,11.14847639904636,17.216010982264066,230.35408717746162
0Mg,0.5,PD,12300,21.824871730265357,8.780036171599448,68.50018853550519,17.049221129647247,28.4434678140152,192.949059116485
0Mg,0.5,PD,12301,20.815535271084308,14.510538982525617,53.58734258106879,12.87949390256173,26.870234180353712,144.40267044435808
0Mg,0.5,PD,12302,19.80049842707981,15.57829331259562,56.335199078366905,12.444828242552424,36.713582883742966,241.99764847818332
0Mg,0.5,PD,12303,21.753553162626254,10.526569997413667,69.26329948817569,16.332502900651118,37.66358500452023,253.63188153810108
0Mg,0.5,ND,12310,18.052099026903093,12.648510953909778,48.15398771003642,9.933582704371892,18.140069315067812,205.9721712190807
0Mg,0.5,ND,12311,20.682450399944358,10.57914257255873,50.19370214369131,14.19266315774777,36.76950485802969,252.22994395528346
0Mg,0.5,ND,12312,19.57710488263922,9.764834313542842,62.37195410298388,14.106195976587166,23.21533143221449,261.82528954846265
0Mg,0.5,ND,12313,18.343798167114656,7.6445438485663075,47.56283287369704,13.902227095358588,17.754117594680707,228.9674735237192
