,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
SK_TERMINAL_GBAR,0.6373725238308593,0.5373471574500839,-0.11513493254695538,0.10562775474875447,-0.10983087496337152,-0.1319766230356703,-0.17801117222371665,-0.02708429072744605,-0.1427761321708108,-0.10527272687317396
SK_AIS_GBAR,0.9462669669451934,-0.20172585714437838,0.06469577742916781,0.015487297603694416,-0.0479243109981959,0.006330156827329678,-0.05365981231014965,-0.037422523347962845,-0.06627699417253659,0.030647267118602238
KDR_GBAR,0.22256895045270836,-0.4696414146047156,0.05384672748687179,-0.18038493843850223,0.048984906271451696,0.0758936623564046,-0.02449690672509984,-0.0077118310119702466,-0.181528902720456,-0.0188679874559233
KV4_GBAR,-0.052169580188591656,-0.13993109792704653,0.039676328400597,-0.058995948791452806,0.24119736462792785,0.027986962767150885,0.11196066549150152,-0.20145278694952043,-0.047986897290252156,-0.29421079559732355
NAR_GBAR,-0.37717382960829055,0.010312841534149388,0.8761617720257083,-0.018479945139196836,-0.09980706500318816,0.030368041101999366,-0.13761100457816097,0.043811275912358616,0.04207080359769673,-0.025933428502287494
IH_GBAR,0.0349659543353043,-0.1319195265632017,0.8646987959310257,-0.01595516151081945,-0.0284920884605604,0.014913889020007164,0.10482702574682684,0.06848880122344381,0.004805623552377261,-0.010781006570658362
CAL_GBAR,0.4433848991210379,-0.05110881094679992,-0.12475656593147842,0.48252627696209005,0.07289627591391591,0.025604148788129468,0.08036539321348483,0.08653389257802846,0.1032744609992671,0.06760981159136259
CAT_GBAR,-0.36911799350727825,0.8119460931843566,-0.07314063817567704,-0.0801387495370594,-0.04455423724155897,-0.10385764297262687,0.06859953379602683,-0.08779815270632572,-0.003941806208209529,0.012776404557131051
IM_GBAR,-0.48747433316274885,0.04619062872144544,-0.4021083470389893,-0.014047812923531867,0.039094145969946516,-0.0382640039784208,0.12926254244946958,-0.08574185217557898,0.030601664686461246,-0.08220785446372819
SKAHP_GBAR_SOMA_AIS,0.7008589193867926,0.3712093908907351,0.006873282843573569,0.03468084416686864,-0.17962585478674728,0.08267334241417254,0.0016765590871708092,-0.20909391838943192,0.08132476501001394,-0.06380257217591641
