cluster_id,generation,cell_index,mi_count_bits,atp_per_spike_molecules,dsi_vector_sum,pd_rate_hz,pc1_combined,pc2_combined
3,16,1520,0.6309412443480125,10535000.673491448,0.09090909090909086,2.142857142857143,-2.468885105304192,-4.177443460821781
1,16,1521,0.0,9185908.73646219,7.204529898187539e-17,0.7142857142857143,0.6211324454595836,3.7817430593782584
2,16,1522,0.0,5625008.864840232,7.204529898187539e-17,0.7142857142857143,-0.14921887681603477,3.6853702579537035
2,16,1523,0.0,4886611.592328043,7.204529898187539e-17,0.7142857142857143,-0.4684597999439457,4.517155090160155
4,16,1524,0.0,25925600.245771427,6.388418785130454e-17,7.142857142857143,-3.5928659616801957,-0.7944572514445852
4,16,1525,0.24011158302361144,29633522.093142357,0.006896551724137897,17.61904761904762,-3.2698889756988208,0.6929671455529546
1,16,1526,0.0,15292654.550718257,6.388418785130454e-17,14.285714285714286,-0.4850845709896948,-2.8851970336754516
0,16,1527,0.19903806976965954,23840515.639462568,0.01394964568144806,25.476190476190474,-3.692495217192895,-0.4844696649416735
0,16,1528,0.0,30913858.853619546,6.740766332309703e-17,6.428571428571429,-5.704979475260759,0.40575552928980313
0,16,1529,0.0,40812115.048114926,5.649027278170325e-17,19.28571428571429,-2.2022614722123963,-3.7972285646471913
0,16,1530,0.0,225883581.15771022,3.3805314394321577e-17,21.42857142857143,-5.338020270019509,-4.198998412840739
3,16,1531,0.0,8515244.097085584,5.52000058772841e-17,20.714285714285715,-1.7559645256684344,-3.3108105585549725
3,16,1532,0.0,8257139.283368626,5.649027278170325e-17,19.28571428571429,-1.3002564124671427,-3.412147814433086
3,16,1533,0.81966311988888,8486990.765933469,0.1414213562373095,2.142857142857143,-0.612775199604809,-2.0822150136271955
2,16,1534,0.0,19814181.20579658,7.204529898187539e-17,5.714285714285714,0.19759030450808426,2.2372456455438314
4,16,1535,0.0,17446319.91514751,7.204529898187539e-17,5.714285714285714,-5.358639699999427,1.8571205347731177
2,17,1536,0.0,4977454.793927952,7.204529898187539e-17,0.7142857142857143,0.7155345297760287,2.6582775014798496
2,17,1537,0.0,5616993.300657845,7.204529898187539e-17,0.7142857142857143,-0.0984239439427519,0.9801844641495834
2,17,1538,0.6309412443480125,6782253.421816307,0.19999999999999996,1.4285714285714286,-2.0903203986882692,-1.4250159409695635
3,17,1539,0.3213656551330364,8559184.166186066,0.3214121732666125,2.3809523809523814,-1.6783581968031305,-3.406008199936464
2,17,1540,0.0,8241953.557283136,6.388418785130454e-17,3.5714285714285716,-1.3568824578777117,2.4827320895674845
4,17,1541,0.0,12200542.301247803,7.204529898187539e-17,22.857142857142858,-2.40938116933274,-1.3159540474281524
4,17,1542,0.1717933273207677,12398962.911304884,0.005649717514124304,10.714285714285715,-4.245151098218214,-1.9311750101143228
0,17,1543,0.17179332732076766,18612339.74365964,0.002237136465324401,26.42857142857143,-1.117431454084013,-1.211096099659915
3,17,1544,0.5083849954297467,8257063.364872774,0.06081303192631496,3.5714285714285716,-1.6027529507408764,-4.54779280126802
3,17,1545,0.0,30566643.019893136,7.204529898187539e-17,0.7142857142857143,-1.039735517149086,1.9732258233772424
4,17,1546,0.6309412443480125,30938785.021823034,0.005405405405405451,32.85714285714286,-3.5237617158099614,2.853569624127262
2,17,1547,0.0,4950930.703994943,7.204529898187539e-17,0.7142857142857143,-0.3311908683613,4.365618603484542
1,17,1548,0.0,37497809.130782455,5.723627517732497e-17,9.285714285714286,-3.2244134375509996,-0.8797129722759301
3,17,1549,0.42861202828328193,56262145.161955796,0.07439210262185825,18.333333333333336,-4.8245367865294915,-4.6778549180204765
1,17,1550,0.0,5044614.338508707,7.204529898187539e-17,0.7142857142857143,0.306900207924419,-0.30093618623708385
4,17,1551,0.0,34801314.92904685,6.243266318974898e-17,15.000000000000002,-2.5671586055162243,-0.71471152927685
1,17,1552,0.0,6136350.001508514,7.204529898187539e-17,0.7142857142857143,-0.6179258680970553,3.6258920605183524
4,17,1553,0.0,22543287.16670986,7.204529898187539e-17,0.7142857142857143,-3.889547181234924,0.40011317912572525
3,17,1554,0.0,19367544.465496253,6.114666873769523e-17,15.714285714285715,-3.215311574289681,-3.079924456961242
2,17,1555,0.0,22536386.230816394,7.204529898187539e-17,0.7142857142857143,1.2607261501826987,1.4112476266018503
2,17,1556,0.0,7123592.503383386,7.204529898187539e-17,0.7142857142857143,0.11622221045365556,0.9927338967870748
1,17,1557,0.5083849954297467,8506259.708797228,0.19764235376052364,1.4285714285714286,-0.1732041767897719,-2.615347373256574
3,17,1558,0.6309412443480125,9851134.40343496,0.07692307692307689,2.857142857142857,-2.078832089516084,-5.424464997143325
3,17,1559,0.0,21473028.310710285,7.204529898187539e-17,0.7142857142857143,0.30444867098445066,1.9718368245966882
1,17,1560,0.0,5028666.009270468,7.204529898187539e-17,0.7142857142857143,-0.7854223317489637,5.091089774949224
1,17,1561,0.0,64289661.32754324,7.204529898187539e-17,0.7142857142857143,-0.12595985319931927,4.113625084822673
0,17,1562,0.0,38797430.77508822,7.204529898187539e-17,0.7142857142857143,-5.004657409224132,-2.2889589637563716
3,17,1563,0.0,20000000000.0,0.0,0.0,-2.6312660003946804,-4.904285219343861
3,17,1564,0.0,12453019.823948905,7.204529898187539e-17,0.7142857142857143,-1.8129167194216798,-4.228649898993432
3,17,1565,0.0,5974258.085352942,7.204529898187539e-17,0.7142857142857143,0.16095176973741854,1.752569313136165
3,17,1566,0.0,11626379.852211103,7.204529898187539e-17,0.7142857142857143,-0.586214349860474,-3.1087772242590557
3,17,1567,0.0,9957751.91094362,7.204529898187539e-17,0.7142857142857143,-0.9501007315647545,-0.2482457430837449
1,17,1568,0.0,9998633.301357409,7.204529898187539e-17,0.7142857142857143,1.0267720923085084,2.3593201720464974
2,17,1569,0.0,3843170.727383186,7.204529898187539e-17,0.7142857142857143,-1.9672882136396779,2.656766555997896
3,17,1570,0.7347634920883144,14283784.65181752,0.12195121951219512,2.857142857142857,-2.3295692406088944,-3.698754695889155
3,17,1571,0.5083849954297467,9664367.601116242,0.11293848786315638,2.142857142857143,-2.58938857523404,-1.648331346795036
3,17,1572,0.0,7340714.841398948,7.204529898187539e-17,11.428571428571429,-1.1341217893013777,-4.004759828921552
4,17,1573,0.0039060116788910415,18676884.63735342,0.08542713567839189,12.857142857142858,-2.3395140302619626,-0.18686214680747684
2,17,1574,0.0,5205873.006589629,7.204529898187539e-17,0.7142857142857143,0.8904360050431122,2.820214921674607
3,17,1575,0.5699579180264102,8359574.979341397,0.1163081056601286,2.142857142857143,-0.9982143367603874,-5.903103831210601
0,17,1576,0.0,20000000000.0,0.0,0.0,-4.610088587514228,-1.9131606243146249
2,17,1577,0.0,6206705.811319809,7.204529898187539e-17,0.7142857142857143,-0.19325895819302213,0.8828789396174944
2,17,1578,0.0,7236002.447851319,7.204529898187539e-17,0.7142857142857143,-0.11914834863611747,-0.48657685326663747
3,17,1579,0.0,10730328.06803221,7.204529898187539e-17,0.7142857142857143,-1.6046713910238748,-3.676323719152668
3,17,1580,0.0,7443059.596131428,7.204529898187539e-17,0.7142857142857143,-1.0018017864925706,-4.957094767231872
3,17,1581,0.0039060116788910415,14928948.105006017,0.52,3.8095238095238098,-1.8809251597036296,-0.20047612211190435
2,17,1582,0.0,4890029.008254779,7.204529898187539e-17,0.7142857142857143,0.7112578267205033,3.017477918983061
1,17,1583,0.0,5059758.108605766,7.204529898187539e-17,0.7142857142857143,-1.9842730211010093,3.953418626946893
3,17,1584,0.0,8939185.871772973,7.204529898187539e-17,0.7142857142857143,-1.7455519727090711,-2.529602193837086
2,17,1585,0.0,11259934.334673533,7.204529898187539e-17,0.7142857142857143,0.2628513003453465,0.8496671526948599
3,17,1586,0.0,8207578.444517965,7.204529898187539e-17,0.7142857142857143,-2.2716904606076658,-3.7332316156687346
3,17,1587,0.0,7514378.20278092,7.204529898187539e-17,0.7142857142857143,-0.2384310006966079,1.7449090706971453
3,17,1588,0.0,12141634.142076157,7.204529898187539e-17,0.7142857142857143,-2.3262744050123367,-2.5713067093153406
1,17,1589,0.0,6310743.528014763,7.204529898187539e-17,0.7142857142857143,-1.0688140108094466,4.360090283398305
3,17,1590,0.0,72356809.56455721,7.204529898187539e-17,0.7142857142857143,-2.1210694652858857,-1.5900710640472795
3,17,1591,0.0,15021348.570951374,0.008502159610265346,15.714285714285715,-0.107003456846224,-3.7138505415038954
3,17,1592,0.0,20000000000.0,0.0,0.2380952380952381,-2.797019882466241,-3.794203068347212
2,17,1593,0.0,10382423.508148137,7.204529898187539e-17,0.7142857142857143,-1.8920729087154766,0.6560158475041131
3,17,1594,0.34038395951278777,10150332.880873153,0.09677419354838707,2.142857142857143,-2.0872220488651814,-1.8047973441563547
3,17,1595,0.5699579180264102,9943024.17571501,0.11630810566012866,2.142857142857143,-1.3076424154680026,-3.203661522291897
3,17,1596,0.0,15108482.621536298,6.243266318974898e-17,15.000000000000002,-0.1492693648079894,-4.886957897843181
4,17,1597,0.049237078402501966,54364892.14014975,0.004419417382415921,19.28571428571429,-4.2444703634263155,0.9198954038781708
4,17,1598,0.0,20000000000.0,0.0,0.0,-4.279574651854299,-0.6931850004397012
2,17,1599,0.0,8292561.222037865,5.52000058772841e-17,20.714285714285715,0.12037685928077052,-0.6882338561181117
3,17,1600,0.2788110369161244,11687874.24827019,0.1767766952966369,0.7142857142857143,-3.4913434025208434,1.981960845800654
1,17,1601,0.0,7748446.572954254,6.388418785130454e-17,7.142857142857143,0.35695656046710833,-1.4104964663672201
3,17,1602,0.0,61420455.570340425,7.204529898187539e-17,0.7142857142857143,0.5980945466642289,0.634055006040282
3,17,1603,0.0,13576527.869541423,7.204529898187539e-17,0.7142857142857143,-1.8178702869059222,-3.1180267917292137
3,17,1604,0.24011158302361144,7820163.423584626,0.14285714285714282,1.1904761904761907,-1.3200351823524654,-4.381621791451808
0,17,1605,0.0,68367976.87429065,6.243266318974898e-17,15.000000000000002,-1.9511650665957314,-3.316532683442502
3,17,1606,0.0,20000000000.0,0.0,0.0,-1.0897201007983937,-1.2043407069950371
3,17,1607,0.6393262397777595,30936594.986427207,0.15386185163241442,0.7142857142857143,0.5632961428406044,-3.3553095719552175
1,17,1608,0.0,7728824.338181829,5.806216188467198e-17,17.857142857142858,-2.599001185168629,-0.3098380597467466
3,17,1609,0.5984741568050038,10394820.8376083,0.18181818181818177,1.666666666666667,-1.4206523073758446,-4.307838831109491
3,17,1610,0.6309412443480125,11690244.56867918,0.09090909090909086,2.142857142857143,-1.5927971178158693,-3.3624069135320274
