parameter,mean_high_mi,std_high_mi,mean_low_mi,std_low_mi,mwu_p_mi,cliffs_delta_mi,mean_high_atp,std_high_atp,mean_low_atp,std_low_atp,mwu_p_atp,cliffs_delta_atp
CAT_GBAR,0.09967804890315306,0.08693810702975974,0.15812754556001,0.10819958269668796,8.541095267800116e-19,-0.2396453373015873,0.15856906957745237,0.11307591713334231,0.10841702139136329,0.08282640618714454,3.1786159707565083e-09,0.1729596876001596
IM_GBAR,0.2961010076448004,0.04670906659171434,0.28820812586154265,0.09222832811065579,0.2156853493423495,-0.033517914377289376,0.2849880092023721,0.09982214826048999,0.27043318512041176,0.024543336538236732,1.9349933744425554e-17,0.24817668644239638
SKAHP_GBAR_SOMA_AIS,0.25999347244648996,0.17587510921605273,0.32686250213217116,0.1453867838453096,2.991545381910738e-15,-0.21357982295482295,0.3229481585981761,0.15396096344436286,0.3479085078091205,0.1457683031405913,0.0579905812248798,-0.05535187498773556
SKAHP_TAU_CA_MULTIPLIER,3.3876866423564507,2.9155724967938186,8.269495038672257,5.168556271394647,1.0621362215578783e-118,-0.627075940552503,8.29340156550115,5.283569791235217,3.104037695814147,4.017273742998446,2.4955447435983384e-106,0.6396674537712338
RA_OHM_CM,224.13555767437725,23.596884040068673,182.19511353748354,52.84593650817494,1.2754648517597894e-96,0.5645282451923077,167.7015729187959,58.00576425011177,228.4098523214657,9.823752324656882,4.0462150616276023e-128,-0.7031661880809257
CM_UF_CM2,1.0862315071002278,0.275568104725619,1.2314352227285266,0.4320348980687961,2.756502322649741e-13,-0.19775211767399267,1.1922846713108772,0.43467525640295906,1.0510218818803785,0.2775464140818467,5.089905408962294e-09,0.17068667787364028
GLEAK_S_CM2,0.000461825760097123,0.0003057873008246977,0.0003334223973267496,0.00027541928365345196,4.525032536787685e-14,0.20423749427655677,0.0003426061190379038,0.00027703599837282074,0.0004625296398857556,0.0002973223103253825,1.9561742126831748e-11,-0.1959334384259653
CAD_DEPTH_UM,0.10029304703430308,0.09841865918326022,0.19893487194832177,0.15542178716470306,1.074328463528597e-46,-0.38846559256715507,0.22870957943215459,0.15063333575023707,0.08348724142868152,0.08516689736339583,3.928040827108528e-115,0.6661112237622726
CAD_TAUR_MS,6.5981184510908655,1.666617005162428,23.89896103780163,23.062001980593895,9.52411600171564e-155,-0.7174181070665445,21.52650980971283,22.27954890174286,6.913273256047902,1.9377044890476345,2.9214004925729528e-92,0.5950199828624878
N_ACH,262.5471034334656,44.83361827536615,219.95405546844074,81.97469688980028,3.5865458914534655e-20,0.24904132326007325,233.27651447424216,77.64233963129864,256.04201059914715,48.31738306520565,0.005316970450676045,-0.0814048181265167
N_GABA,138.60352243958687,21.460062497188083,161.8742054002174,79.64085878661976,0.0007102195691701802,0.09165617368742368,163.68622261704155,77.80901315931165,133.18434716774544,22.992794908026326,0.03227255450680088,0.06253393162001819
RHO0_ACH,2.9925754633901533,0.7891349869339485,3.202380356196871,1.2267240862657998,0.0036684838564958718,-0.07865322611416362,3.014341202125077,1.2357310140469147,2.8902827089948953,0.7305247560265246,0.8335671023577043,0.006138761520398218
LAMBDA_ACH_UM,261.35185971097445,77.9755097845328,262.6828980908515,95.61419192667103,0.004422279593687697,0.07704350770757021,271.3631262400626,106.63458569086819,272.5079363488237,59.000198454348435,3.4473374358778687e-06,-0.13553842531118976
RHO0_GABA,4.003845680563719,0.43380975237839,3.558994201216897,1.153641582984985,7.255360463185144e-07,0.13412412240537241,3.6012320526568917,1.1741116287029758,3.9289793824380896,0.4043657952256179,0.330425267469465,0.028425703651859945
LAMBDA_GABA_UM,326.8865625876119,28.71767682700624,319.4554869283078,70.50666619528884,0.06406066967636795,0.050130208333333336,318.4979182554539,81.56684006078817,329.73509425671085,26.964642860609253,6.452775562688997e-05,-0.11669697346302026
W_ACH_US,0.008882481495797892,0.0006145519381814749,0.007086155857313694,0.0025100066672770044,4.6800972051605376e-77,0.5029618818681318,0.0070090517710011705,0.002440169240756823,0.008890277430819568,0.0006639384481523633,3.4268742357009e-75,-0.5358808485030842
W_GABA_US,0.00480559596654276,0.0006241568603904551,0.005247058119950244,0.0021942138405134488,5.824035671816097e-08,-0.14683612828144077,0.0051083762068369915,0.0024686171450907374,0.00469009550464711,0.0005400375896336997,3.856795947835958e-12,0.2027541028643193
