strategy,compute_mode,tier,parameterisation,cost_mult,sample_mult,usd_scaled
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,0.5,2.0,485.62
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,1.0,0.5,242.81
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,1.0,1.0,485.62
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,1.0,2.0,971.25
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,2.0,0.5,485.62
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,2.0,1.0,971.25
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,2.0,2.0,1942.5
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,0.5,0.5,237.42
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,0.5,1.0,474.83
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,0.5,2.0,949.67
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,1.0,0.5,474.83
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,1.0,1.0,949.67
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,1.0,2.0,1899.33
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,2.0,0.5,949.67
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,2.0,1.0,1899.33
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,2.0,2.0,3798.67
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,0.5,0.5,323.75
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,0.5,1.0,647.5
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,0.5,2.0,1295.0
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,1.0,0.5,647.5
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,1.0,1.0,1295.0
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,1.0,2.0,2590.0
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,2.0,0.5,1295.0
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,2.0,1.0,2590.0
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,2.0,2.0,5180.0
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,0.5,0.5,23.03
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,0.5,1.0,25.27
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,0.5,2.0,29.76
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,1.0,0.5,46.05
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,1.0,1.0,50.54
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,1.0,2.0,59.52
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,2.0,0.5,92.1
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,2.0,1.0,101.08
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,2.0,2.0,119.03
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,0.5,0.5,45.58
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,0.5,1.0,50.51
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,0.5,2.0,60.39
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,1.0,0.5,91.15
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,1.0,1.0,101.03
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,1.0,2.0,120.78
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,2.0,0.5,182.31
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,2.0,1.0,202.06
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,2.0,2.0,241.56
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,0.5,0.5,66.64
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,0.5,1.0,77.86
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,0.5,2.0,100.3
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,1.0,0.5,133.28
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,1.0,1.0,155.72
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,1.0,2.0,200.61
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,2.0,0.5,266.55
