condition_id,channel_kind,density_label,density_ms_cm2,angle_deg,trial_seed,trial_mode,n_spikes,firing_rate_hz,peak_vm_mv,baseline_vm_mv,is_unstable
kv4_high,Kv4,high,36.0,90.0,5,FULL,10,10.0,43.78215335341418,-36.126344650799375,False
kv4_high,Kv4,high,36.0,120.0,1,FULL,9,9.0,42.991892789464664,-35.701590314738525,False
kv4_high,Kv4,high,36.0,120.0,2,FULL,7,7.0,44.176544806667316,-36.235227812714605,False
kv4_high,Kv4,high,36.0,120.0,3,FULL,9,9.0,44.2050588509027,-36.39111670992336,False
kv4_high,Kv4,high,36.0,120.0,4,FULL,10,10.0,42.96662222834156,-36.03344937378729,False
kv4_high,Kv4,high,36.0,120.0,5,FULL,10,10.0,43.78215335341418,-36.126344650799375,False
kv4_high,Kv4,high,36.0,150.0,1,FULL,9,9.0,42.991892789464664,-35.701590314738525,False
kv4_high,Kv4,high,36.0,150.0,2,FULL,7,7.0,44.176544806667316,-36.235227812714605,False
kv4_high,Kv4,high,36.0,150.0,3,FULL,9,9.0,44.2050588509027,-36.39111670992336,False
kv4_high,Kv4,high,36.0,150.0,4,FULL,10,10.0,42.96662222834156,-36.03344937378729,False
kv4_high,Kv4,high,36.0,150.0,5,FULL,10,10.0,43.78215335341418,-36.126344650799375,False
kv4_high,Kv4,high,36.0,180.0,1,FULL,9,9.0,42.991892789464664,-35.701590314738525,False
kv4_high,Kv4,high,36.0,180.0,2,FULL,7,7.0,44.176544806667316,-36.235227812714605,False
kv4_high,Kv4,high,36.0,180.0,3,FULL,9,9.0,44.2050588509027,-36.39111670992336,False
kv4_high,Kv4,high,36.0,180.0,4,FULL,10,10.0,42.96662222834156,-36.03344937378729,False
kv4_high,Kv4,high,36.0,180.0,5,FULL,10,10.0,43.78215335341418,-36.126344650799375,False
kv4_high,Kv4,high,36.0,210.0,1,FULL,12,12.0,43.48359080290156,-37.37171226402666,False
kv4_high,Kv4,high,36.0,210.0,2,FULL,8,8.0,43.0675155786648,-37.36287998828746,False
kv4_high,Kv4,high,36.0,210.0,3,FULL,13,13.0,43.12810133962364,-37.32764426683517,False
kv4_high,Kv4,high,36.0,210.0,4,FULL,10,10.0,43.8929146212361,-37.656301286831,False
kv4_high,Kv4,high,36.0,210.0,5,FULL,7,7.0,44.277717594443864,-37.95973154085266,False
kv4_high,Kv4,high,36.0,240.0,1,FULL,19,19.0,44.04531297278598,-52.29372061708892,False
kv4_high,Kv4,high,36.0,240.0,2,FULL,16,16.0,44.15419257449192,-51.81629536621233,False
kv4_high,Kv4,high,36.0,240.0,3,FULL,16,16.0,43.71811188192633,-52.55830490335903,False
kv4_high,Kv4,high,36.0,240.0,4,FULL,16,16.0,43.775721437412464,-52.02418205997069,False
kv4_high,Kv4,high,36.0,240.0,5,FULL,17,17.0,43.127575729230955,-52.20424223398861,False
kv4_high,Kv4,high,36.0,270.0,1,FULL,17,17.0,43.110601182354436,-59.46018891588833,False
kv4_high,Kv4,high,36.0,270.0,2,FULL,13,13.0,42.85633603419,-59.431185094505494,False
kv4_high,Kv4,high,36.0,270.0,3,FULL,18,18.0,43.171627706462,-59.427633707077604,False
kv4_high,Kv4,high,36.0,270.0,4,FULL,15,15.0,42.87136120546838,-59.53084396008948,False
kv4_high,Kv4,high,36.0,270.0,5,FULL,19,19.0,43.32759770274321,-59.61440884460943,False
kv4_high,Kv4,high,36.0,300.0,1,FULL,17,17.0,43.428923508358096,-59.825663290216625,False
kv4_high,Kv4,high,36.0,300.0,2,FULL,15,15.0,42.700443967568674,-59.772810423885,False
kv4_high,Kv4,high,36.0,300.0,3,FULL,14,14.0,42.98014065461791,-59.83532845827181,False
kv4_high,Kv4,high,36.0,300.0,4,FULL,16,16.0,43.852210230426905,-59.86834986993572,False
kv4_high,Kv4,high,36.0,300.0,5,FULL,17,17.0,43.423514667252846,-59.915733909492126,False
kv4_high,Kv4,high,36.0,330.0,1,FULL,18,18.0,43.54781009266467,-59.81736672937869,False
kv4_high,Kv4,high,36.0,330.0,2,FULL,17,17.0,43.135727763194495,-59.7607116181614,False
kv4_high,Kv4,high,36.0,330.0,3,FULL,13,13.0,42.93310499333942,-59.85792830345458,False
kv4_high,Kv4,high,36.0,330.0,4,FULL,16,16.0,42.94733278660485,-59.83106106681602,False
kv4_high,Kv4,high,36.0,330.0,5,FULL,15,15.0,42.95167734530558,-59.89928803703929,False
bk_low,BK,low,0.3,0.0,1,FULL,17,17.0,43.18882915842924,-58.92371164338085,False
bk_low,BK,low,0.3,0.0,2,FULL,11,11.0,43.271299697017874,-59.04625849593814,False
bk_low,BK,low,0.3,0.0,3,FULL,14,14.0,43.9974908699303,-59.0720704111454,False
bk_low,BK,low,0.3,0.0,4,FULL,14,14.0,42.61006988118501,-59.03677117472344,False
bk_low,BK,low,0.3,0.0,5,FULL,16,16.0,43.42986635164756,-59.17118596580103,False
bk_low,BK,low,0.3,30.0,1,FULL,11,11.0,43.446958531414964,-43.44419311916122,False
bk_low,BK,low,0.3,30.0,2,FULL,15,15.0,44.0440941951423,-43.316122714172465,False
bk_low,BK,low,0.3,30.0,3,FULL,15,15.0,43.75586429696091,-43.70523377701731,False
bk_low,BK,low,0.3,30.0,4,FULL,15,15.0,43.38454142626426,-43.774516463870626,False
bk_low,BK,low,0.3,30.0,5,FULL,15,15.0,44.2618558821773,-43.621662541901244,False
bk_low,BK,low,0.3,60.0,1,FULL,9,9.0,44.328507948966234,-35.95108374460863,False
bk_low,BK,low,0.3,60.0,2,FULL,7,7.0,43.48538534301229,-36.36492538549873,False
bk_low,BK,low,0.3,60.0,3,FULL,7,7.0,43.22289195893157,-36.30423004314568,False
bk_low,BK,low,0.3,60.0,4,FULL,12,12.0,43.55709091422659,-36.03825216610345,False
bk_low,BK,low,0.3,60.0,5,FULL,11,11.0,43.688023284458836,-36.29746002433973,False
bk_low,BK,low,0.3,90.0,1,FULL,9,9.0,43.842283465475596,-35.59880392565851,False
bk_low,BK,low,0.3,90.0,2,FULL,7,7.0,44.35324807831003,-36.223355697122024,False
bk_low,BK,low,0.3,90.0,3,FULL,9,9.0,43.46364128927558,-36.42813113882209,False
bk_low,BK,low,0.3,90.0,4,FULL,10,10.0,44.277510597926494,-35.93257161126062,False
bk_low,BK,low,0.3,90.0,5,FULL,9,9.0,43.70803375452012,-36.08288890452449,False
bk_low,BK,low,0.3,120.0,1,FULL,8,8.0,43.842283465475596,-35.59880392565851,False
bk_low,BK,low,0.3,120.0,2,FULL,7,7.0,44.35324807831003,-36.223355697122024,False
bk_low,BK,low,0.3,120.0,3,FULL,9,9.0,43.46364128927558,-36.42813113882209,False
bk_low,BK,low,0.3,120.0,4,FULL,10,10.0,44.277510597926494,-35.93257161126062,False
bk_low,BK,low,0.3,120.0,5,FULL,9,9.0,43.70803375452012,-36.08288890452449,False
bk_low,BK,low,0.3,150.0,1,FULL,8,8.0,43.842283465475596,-35.59880392565851,False
bk_low,BK,low,0.3,150.0,2,FULL,7,7.0,44.35324807831003,-36.223355697122024,False
bk_low,BK,low,0.3,150.0,3,FULL,9,9.0,43.46364128927558,-36.42813113882209,False
bk_low,BK,low,0.3,150.0,4,FULL,10,10.0,44.277510597926494,-35.93257161126062,False
bk_low,BK,low,0.3,150.0,5,FULL,9,9.0,43.70803375452012,-36.08288890452449,False
bk_low,BK,low,0.3,180.0,1,FULL,8,8.0,43.842283465475596,-35.59880392565851,False
bk_low,BK,low,0.3,180.0,2,FULL,7,7.0,44.35324807831003,-36.223355697122024,False
bk_low,BK,low,0.3,180.0,3,FULL,9,9.0,43.46364128927558,-36.42813113882209,False
bk_low,BK,low,0.3,180.0,4,FULL,10,10.0,44.277510597926494,-35.93257161126062,False
bk_low,BK,low,0.3,180.0,5,FULL,9,9.0,43.70803375452012,-36.08288890452449,False
bk_low,BK,low,0.3,210.0,1,FULL,12,12.0,44.10961492566648,-37.33583532171034,False
bk_low,BK,low,0.3,210.0,2,FULL,8,8.0,44.007097098975684,-37.30927365813621,False
bk_low,BK,low,0.3,210.0,3,FULL,12,12.0,44.3124468242731,-37.261068319288654,False
bk_low,BK,low,0.3,210.0,4,FULL,11,11.0,43.19939680578773,-37.641702726341634,False
bk_low,BK,low,0.3,210.0,5,FULL,7,7.0,44.29662052942772,-37.927007140691444,False
bk_low,BK,low,0.3,240.0,1,FULL,19,19.0,43.616036133336046,-52.267455578942474,False
bk_low,BK,low,0.3,240.0,2,FULL,17,17.0,44.16080839623337,-51.734383531165896,False
bk_low,BK,low,0.3,240.0,3,FULL,15,15.0,43.211350447754725,-52.5228711557989,False
bk_low,BK,low,0.3,240.0,4,FULL,16,16.0,43.95618823137721,-51.974110514790155,False
bk_low,BK,low,0.3,240.0,5,FULL,17,17.0,43.2365885104548,-52.147743216029895,False
bk_low,BK,low,0.3,270.0,1,FULL,17,17.0,43.83474227839828,-59.43246777571904,False
bk_low,BK,low,0.3,270.0,2,FULL,13,13.0,42.39451533444374,-59.403099542756436,False
bk_low,BK,low,0.3,270.0,3,FULL,18,18.0,43.17442203279398,-59.39972454989767,False
bk_low,BK,low,0.3,270.0,4,FULL,14,14.0,43.436522263246204,-59.503369494178685,False
bk_low,BK,low,0.3,270.0,5,FULL,19,19.0,43.71355867419922,-59.587195497737156,False
bk_low,BK,low,0.3,300.0,1,FULL,17,17.0,43.64636452868001,-59.79976422862103,False
bk_low,BK,low,0.3,300.0,2,FULL,14,14.0,43.178855184504435,-59.74674765632102,False
bk_low,BK,low,0.3,300.0,3,FULL,13,13.0,43.80272601961619,-59.80953678994272,False
bk_low,BK,low,0.3,300.0,4,FULL,15,15.0,43.12859615675801,-59.84257571185374,False
bk_low,BK,low,0.3,300.0,5,FULL,16,16.0,43.521529573607936,-59.89016523311332,False
bk_low,BK,low,0.3,330.0,1,FULL,18,18.0,43.43188136630741,-59.79140696170179,False
