condition_id,angle_deg,trial_seed,firing_rate_hz
kv7_low,330.0,3,14.0
kv7_low,330.0,4,16.0
kv7_low,330.0,5,15.0
kv7_med,0.0,1,16.0
kv7_med,0.0,2,12.0
kv7_med,0.0,3,15.0
kv7_med,0.0,4,13.0
kv7_med,0.0,5,17.0
kv7_med,30.0,1,11.0
kv7_med,30.0,2,15.0
kv7_med,30.0,3,15.0
kv7_med,30.0,4,14.0
kv7_med,30.0,5,14.0
kv7_med,60.0,1,8.0
kv7_med,60.0,2,8.0
kv7_med,60.0,3,8.0
kv7_med,60.0,4,13.0
kv7_med,60.0,5,9.0
kv7_med,90.0,1,9.0
kv7_med,90.0,2,7.0
kv7_med,90.0,3,9.0
kv7_med,90.0,4,9.0
kv7_med,90.0,5,10.0
kv7_med,120.0,1,8.0
kv7_med,120.0,2,7.0
kv7_med,120.0,3,9.0
kv7_med,120.0,4,9.0
kv7_med,120.0,5,10.0
kv7_med,150.0,1,8.0
kv7_med,150.0,2,7.0
kv7_med,150.0,3,9.0
kv7_med,150.0,4,9.0
kv7_med,150.0,5,10.0
kv7_med,180.0,1,8.0
kv7_med,180.0,2,7.0
kv7_med,180.0,3,9.0
kv7_med,180.0,4,9.0
kv7_med,180.0,5,10.0
kv7_med,210.0,1,12.0
kv7_med,210.0,2,8.0
kv7_med,210.0,3,13.0
kv7_med,210.0,4,11.0
kv7_med,210.0,5,7.0
kv7_med,240.0,1,20.0
kv7_med,240.0,2,16.0
kv7_med,240.0,3,17.0
kv7_med,240.0,4,16.0
kv7_med,240.0,5,18.0
kv7_med,270.0,1,18.0
kv7_med,270.0,2,13.0
kv7_med,270.0,3,19.0
kv7_med,270.0,4,17.0
kv7_med,270.0,5,19.0
kv7_med,300.0,1,18.0
kv7_med,300.0,2,15.0
kv7_med,300.0,3,15.0
kv7_med,300.0,4,15.0
kv7_med,300.0,5,18.0
kv7_med,330.0,1,18.0
kv7_med,330.0,2,17.0
kv7_med,330.0,3,14.0
kv7_med,330.0,4,16.0
kv7_med,330.0,5,15.0
nap_high,0.0,1,62.0
nap_high,0.0,2,77.0
nap_high,0.0,3,71.0
nap_high,0.0,4,74.0
nap_high,0.0,5,71.0
nap_high,30.0,1,76.0
nap_high,30.0,2,71.0
nap_high,30.0,3,71.0
nap_high,30.0,4,75.0
nap_high,30.0,5,72.0
nap_high,60.0,1,69.0
nap_high,60.0,2,74.0
nap_high,60.0,3,71.0
nap_high,60.0,4,69.0
nap_high,60.0,5,72.0
nap_high,90.0,1,67.0
nap_high,90.0,2,73.0
nap_high,90.0,3,74.0
nap_high,90.0,4,69.0
nap_high,90.0,5,73.0
nap_high,120.0,1,65.0
nap_high,120.0,2,73.0
nap_high,120.0,3,71.0
nap_high,120.0,4,72.0
nap_high,120.0,5,73.0
nap_high,150.0,1,70.0
nap_high,150.0,2,72.0
nap_high,150.0,3,68.0
nap_high,150.0,4,71.0
nap_high,150.0,5,71.0
nap_high,180.0,1,69.0
nap_high,180.0,2,75.0
