gnmda_ns,angle_deg,synapse_index,onset_time_ms
0.000000,120,90,100.0000
0.000000,120,91,100.0000
0.000000,120,92,110.0721
0.000000,120,93,100.0000
0.000000,120,94,100.0000
0.000000,120,95,100.0000
0.000000,120,96,120.4148
0.000000,120,97,100.0000
0.000000,120,98,100.0000
0.000000,120,99,100.0000
0.000000,150,0,100.0000
0.000000,150,1,100.0000
0.000000,150,2,113.7344
0.000000,150,3,109.9803
0.000000,150,4,100.0000
0.000000,150,5,100.0000
0.000000,150,6,100.0000
0.000000,150,7,100.0000
0.000000,150,8,100.0000
0.000000,150,9,100.4737
0.000000,150,10,100.0000
0.000000,150,11,100.0385
0.000000,150,12,100.0000
0.000000,150,13,113.9275
0.000000,150,14,100.0000
0.000000,150,15,119.4653
0.000000,150,16,100.0000
0.000000,150,17,100.0000
0.000000,150,18,103.1991
0.000000,150,19,100.0000
0.000000,150,20,112.8837
0.000000,150,21,105.3270
0.000000,150,22,100.0000
0.000000,150,23,100.0000
0.000000,150,24,100.0000
0.000000,150,25,100.0000
0.000000,150,26,104.3147
0.000000,150,27,101.0766
0.000000,150,28,100.0000
0.000000,150,29,100.0000
0.000000,150,30,100.0000
0.000000,150,31,100.0000
0.000000,150,32,109.9385
0.000000,150,33,100.0000
0.000000,150,34,100.0000
0.000000,150,35,102.6065
0.000000,150,36,100.0000
0.000000,150,37,100.0000
0.000000,150,38,100.4145
0.000000,150,39,100.0000
0.000000,150,40,100.0000
0.000000,150,41,100.0000
0.000000,150,42,100.0000
0.000000,150,43,100.0000
0.000000,150,44,100.0000
0.000000,150,45,100.0000
0.000000,150,46,109.8275
0.000000,150,47,100.0000
0.000000,150,48,110.6235
0.000000,150,49,100.0000
0.000000,150,50,100.0000
0.000000,150,51,103.9092
0.000000,150,52,100.0000
0.000000,150,53,108.1536
0.000000,150,54,100.0000
0.000000,150,55,116.4606
0.000000,150,56,100.0000
0.000000,150,57,100.0000
0.000000,150,58,111.7838
0.000000,150,59,111.3165
0.000000,150,60,100.0000
0.000000,150,61,112.8810
0.000000,150,62,108.6137
0.000000,150,63,100.0000
0.000000,150,64,102.7172
0.000000,150,65,100.0000
0.000000,150,66,119.3682
0.000000,150,67,104.9283
0.000000,150,68,100.0000
0.000000,150,69,105.3560
0.000000,150,70,100.0000
0.000000,150,71,100.0000
0.000000,150,72,100.0000
0.000000,150,73,100.6536
0.000000,150,74,100.0000
0.000000,150,75,100.0000
0.000000,150,76,100.0000
0.000000,150,77,102.4185
0.000000,150,78,100.1890
0.000000,150,79,100.0000
0.000000,150,80,100.0000
0.000000,150,81,100.0000
0.000000,150,82,100.0000
0.000000,150,83,100.0000
0.000000,150,84,100.0000
0.000000,150,85,100.0000
0.000000,150,86,100.0000
0.000000,150,87,100.0483
0.000000,150,88,109.5455
0.000000,150,89,100.0000
0.000000,150,90,100.0000
0.000000,150,91,100.0000
0.000000,150,92,109.3254
0.000000,150,93,100.0000
0.000000,150,94,101.0494
0.000000,150,95,100.0000
0.000000,150,96,116.3995
0.000000,150,97,100.0000
0.000000,150,98,100.0000
0.000000,150,99,100.0000
0.000000,180,0,100.0000
0.000000,180,1,100.0000
0.000000,180,2,100.0000
0.000000,180,3,105.5400
0.000000,180,4,100.0000
0.000000,180,5,101.7650
0.000000,180,6,100.0000
0.000000,180,7,100.0000
0.000000,180,8,100.0000
0.000000,180,9,103.2750
0.000000,180,10,100.0000
0.000000,180,11,100.0000
0.000000,180,12,106.0600
0.000000,180,13,101.8100
0.000000,180,14,100.0000
0.000000,180,15,109.3650
0.000000,180,16,100.0000
0.000000,180,17,100.0000
0.000000,180,18,100.0000
0.000000,180,19,100.0000
0.000000,180,20,102.5850
0.000000,180,21,100.0000
0.000000,180,22,100.0000
0.000000,180,23,100.0000
0.000000,180,24,100.0000
0.000000,180,25,100.0000
0.000000,180,26,105.6750
0.000000,180,27,105.8100
0.000000,180,28,100.0000
0.000000,180,29,100.0000
0.000000,180,30,100.0000
0.000000,180,31,100.0000
0.000000,180,32,105.6650
0.000000,180,33,100.0000
0.000000,180,34,100.0000
0.000000,180,35,100.0000
0.000000,180,36,100.0000
0.000000,180,37,102.5600
0.000000,180,38,102.8400
0.000000,180,39,100.0000
0.000000,180,40,100.0000
0.000000,180,41,100.0000
0.000000,180,42,100.0000
0.000000,180,43,100.0000
0.000000,180,44,100.0000
0.000000,180,45,102.1900
0.000000,180,46,106.4750
0.000000,180,47,100.0000
0.000000,180,48,101.5600
0.000000,180,49,100.0000
0.000000,180,50,100.0000
0.000000,180,51,103.2900
0.000000,180,52,100.2300
0.000000,180,53,100.0000
0.000000,180,54,100.0000
0.000000,180,55,107.1050
0.000000,180,56,100.0000
0.000000,180,57,100.0000
0.000000,180,58,108.8350
0.000000,180,59,100.0000
0.000000,180,60,100.0000
0.000000,180,61,100.0000
0.000000,180,62,100.2150
0.000000,180,63,100.0000
0.000000,180,64,100.0000
0.000000,180,65,100.0000
0.000000,180,66,106.3950
0.000000,180,67,109.8650
0.000000,180,68,100.0000
0.000000,180,69,100.0000
0.000000,180,70,100.0000
0.000000,180,71,107.9500
0.000000,180,72,100.0000
0.000000,180,73,104.0600
0.000000,180,74,100.0000
0.000000,180,75,100.0000
0.000000,180,76,100.0000
0.000000,180,77,104.1350
