gnmda_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0.250000,150,5004,672,222.6586,-64.5161
0.250000,150,5004,680,256.3627,-64.4225
0.250000,150,5004,688,341.3569,-64.4985
0.250000,150,5004,696,364.9620,-64.5169
0.250000,150,5004,704,426.4710,-64.5403
0.250000,150,5004,712,743.5151,-64.5611
0.250000,150,5005,0,0.0000,-65.0000
0.250000,150,5005,8,0.0707,-64.9854
0.250000,150,5005,16,0.6925,-64.9161
0.250000,150,5005,24,5.7031,-64.6221
0.250000,150,5005,32,14.5994,-64.5431
0.250000,150,5005,40,23.4957,-64.5550
0.250000,150,5005,48,32.3920,-64.5604
0.250000,150,5005,56,41.2882,-64.5625
0.250000,150,5005,64,61.0579,-64.5615
0.250000,150,5005,72,100.0083,-64.5599
0.250000,150,5005,80,100.0471,-64.5259
0.250000,150,5005,88,100.0745,-64.4693
0.250000,150,5005,96,100.1890,-64.0006
0.250000,150,5005,104,100.2850,-63.3894
0.250000,150,5005,112,100.4189,-62.3728
0.250000,150,5005,120,100.4765,-61.9169
0.250000,150,5005,128,100.6100,-60.8945
0.250000,150,5005,136,100.6831,-60.3803
0.250000,150,5005,144,100.9330,-58.9857
0.250000,150,5005,152,101.0630,-58.5123
0.250000,150,5005,160,101.1289,-58.3353
0.250000,150,5005,168,101.5570,-58.0244
0.250000,150,5005,176,102.4185,-60.2539
0.250000,150,5005,184,102.5123,-60.6050
0.250000,150,5005,192,102.6376,-61.0779
0.250000,150,5005,200,102.7186,-61.3809
0.250000,150,5005,208,102.9366,-62.1666
0.250000,150,5005,216,103.2051,-63.0769
0.250000,150,5005,224,103.5131,-64.0179
0.250000,150,5005,232,103.9106,-65.0932
0.250000,150,5005,240,104.1674,-65.6969
0.250000,150,5005,248,104.3395,-66.0658
0.250000,150,5005,256,104.7713,-66.8642
0.250000,150,5005,264,104.9386,-67.1440
0.250000,150,5005,272,105.1508,-67.4723
0.250000,150,5005,280,105.3336,-67.7339
0.250000,150,5005,288,105.3663,-67.7786
0.250000,150,5005,296,105.5991,-68.0553
0.250000,150,5005,304,106.3192,-68.7546
0.250000,150,5005,312,107.8297,-70.1297
0.250000,150,5005,320,108.1724,-70.3865
0.250000,150,5005,328,108.3544,-70.5032
0.250000,150,5005,336,108.6145,-70.6344
0.250000,150,5005,344,108.8420,-70.7174
0.250000,150,5005,352,109.3255,-70.8384
0.250000,150,5005,360,109.5017,-70.8719
0.250000,150,5005,368,109.6315,-70.8868
0.250000,150,5005,376,109.8321,-70.8903
0.250000,150,5005,384,109.9386,-70.8832
0.250000,150,5005,392,109.9812,-70.8776
0.250000,150,5005,400,110.2010,-70.8110
0.250000,150,5005,408,110.6235,-70.6589
0.250000,150,5005,416,110.6911,-70.6421
0.250000,150,5005,424,111.0234,-70.5753
0.250000,150,5005,432,111.3180,-70.5625
0.250000,150,5005,440,111.4412,-70.5689
0.250000,150,5005,448,111.7838,-70.5940
0.250000,150,5005,456,111.8588,-70.6012
0.250000,150,5005,464,112.3370,-70.6425
0.250000,150,5005,472,112.8814,-70.7593
0.250000,150,5005,480,112.9118,-70.7679
0.250000,150,5005,488,113.1298,-70.8025
0.250000,150,5005,496,113.7344,-70.8396
0.250000,150,5005,504,113.7908,-70.8460
0.250000,150,5005,512,113.9394,-70.8578
0.250000,150,5005,520,114.2311,-70.8517
0.250000,150,5005,528,115.1307,-70.9027
0.250000,150,5005,536,116.3996,-71.2482
0.250000,150,5005,544,116.4606,-71.2645
0.250000,150,5005,552,116.5087,-71.2748
0.250000,150,5005,560,116.8820,-71.2803
0.250000,150,5005,568,117.7534,-71.2650
0.250000,150,5005,576,119.3682,-71.4994
0.250000,150,5005,584,119.4653,-71.5117
0.250000,150,5005,592,119.5675,-71.5144
0.250000,150,5005,600,120.0384,-71.4350
0.250000,150,5005,608,121.1635,-71.3357
0.250000,150,5005,616,123.2099,-71.5026
0.250000,150,5005,624,128.3182,-71.4227
0.250000,150,5005,632,137.6571,-70.4179
0.250000,150,5005,640,155.9594,-68.1240
0.250000,150,5005,648,179.6742,-65.8525
0.250000,150,5005,656,192.9271,-65.1415
0.250000,150,5005,664,203.6368,-64.8015
0.250000,150,5005,672,222.6586,-64.5161
0.250000,150,5005,680,256.3627,-64.4225
0.250000,150,5005,688,341.3569,-64.4985
0.250000,150,5005,696,364.9620,-64.5169
0.250000,150,5005,704,426.4710,-64.5403
0.250000,150,5005,712,743.5151,-64.5611
0.250000,150,5006,0,0.0000,-65.0000
0.250000,150,5006,8,0.0707,-64.9854
0.250000,150,5006,16,0.6925,-64.9161
0.250000,150,5006,24,5.7031,-64.6221
0.250000,150,5006,32,14.5994,-64.5431
0.250000,150,5006,40,23.4957,-64.5550
0.250000,150,5006,48,32.3920,-64.5604
0.250000,150,5006,56,41.2882,-64.5625
0.250000,150,5006,64,61.0579,-64.5615
0.250000,150,5006,72,100.0083,-64.5599
0.250000,150,5006,80,100.0471,-64.5259
0.250000,150,5006,88,100.0745,-64.4693
0.250000,150,5006,96,100.1890,-64.0006
0.250000,150,5006,104,100.2850,-63.3894
0.250000,150,5006,112,100.4189,-62.3728
0.250000,150,5006,120,100.4765,-61.9169
0.250000,150,5006,128,100.6100,-60.8945
0.250000,150,5006,136,100.6831,-60.3803
0.250000,150,5006,144,100.9330,-58.9857
0.250000,150,5006,152,101.0630,-58.5123
0.250000,150,5006,160,101.1289,-58.3353
0.250000,150,5006,168,101.5570,-58.0244
0.250000,150,5006,176,102.4185,-60.2539
0.250000,150,5006,184,102.5123,-60.6050
0.250000,150,5006,192,102.6376,-61.0779
0.250000,150,5006,200,102.7186,-61.3809
0.250000,150,5006,208,102.9366,-62.1666
0.250000,150,5006,216,103.2051,-63.0769
0.250000,150,5006,224,103.5131,-64.0179
0.250000,150,5006,232,103.9106,-65.0932
0.250000,150,5006,240,104.1674,-65.6969
0.250000,150,5006,248,104.3395,-66.0658
0.250000,150,5006,256,104.7713,-66.8642
0.250000,150,5006,264,104.9386,-67.1440
0.250000,150,5006,272,105.1508,-67.4723
0.250000,150,5006,280,105.3336,-67.7339
0.250000,150,5006,288,105.3663,-67.7786
0.250000,150,5006,296,105.5991,-68.0553
0.250000,150,5006,304,106.3192,-68.7546
0.250000,150,5006,312,107.8297,-70.1297
0.250000,150,5006,320,108.1724,-70.3865
0.250000,150,5006,328,108.3544,-70.5032
0.250000,150,5006,336,108.6145,-70.6344
0.250000,150,5006,344,108.8420,-70.7174
0.250000,150,5006,352,109.3255,-70.8384
0.250000,150,5006,360,109.5017,-70.8719
0.250000,150,5006,368,109.6315,-70.8868
0.250000,150,5006,376,109.8321,-70.8903
0.250000,150,5006,384,109.9386,-70.8832
0.250000,150,5006,392,109.9812,-70.8776
0.250000,150,5006,400,110.2010,-70.8110
0.250000,150,5006,408,110.6235,-70.6589
0.250000,150,5006,416,110.6911,-70.6421
0.250000,150,5006,424,111.0234,-70.5753
0.250000,150,5006,432,111.3180,-70.5625
0.250000,150,5006,440,111.4412,-70.5689
0.250000,150,5006,448,111.7838,-70.5940
0.250000,150,5006,456,111.8588,-70.6012
0.250000,150,5006,464,112.3370,-70.6425
0.250000,150,5006,472,112.8814,-70.7593
0.250000,150,5006,480,112.9118,-70.7679
0.250000,150,5006,488,113.1298,-70.8025
0.250000,150,5006,496,113.7344,-70.8396
0.250000,150,5006,504,113.7908,-70.8460
0.250000,150,5006,512,113.9394,-70.8578
0.250000,150,5006,520,114.2311,-70.8517
0.250000,150,5006,528,115.1307,-70.9027
0.250000,150,5006,536,116.3996,-71.2482
0.250000,150,5006,544,116.4606,-71.2645
0.250000,150,5006,552,116.5087,-71.2748
0.250000,150,5006,560,116.8820,-71.2803
0.250000,150,5006,568,117.7534,-71.2650
0.250000,150,5006,576,119.3682,-71.4994
0.250000,150,5006,584,119.4653,-71.5117
0.250000,150,5006,592,119.5675,-71.5144
0.250000,150,5006,600,120.0384,-71.4350
0.250000,150,5006,608,121.1635,-71.3357
0.250000,150,5006,616,123.2099,-71.5026
0.250000,150,5006,624,128.3182,-71.4227
0.250000,150,5006,632,137.6571,-70.4179
0.250000,150,5006,640,155.9594,-68.1240
0.250000,150,5006,648,179.6742,-65.8525
0.250000,150,5006,656,192.9271,-65.1415
0.250000,150,5006,664,203.6368,-64.8015
0.250000,150,5006,672,222.6586,-64.5161
0.250000,150,5006,680,256.3627,-64.4225
0.250000,150,5006,688,341.3569,-64.4985
0.250000,150,5006,696,364.9620,-64.5169
0.250000,150,5006,704,426.4710,-64.5403
0.250000,150,5006,712,743.5151,-64.5611
0.250000,150,5007,0,0.0000,-65.0000
0.250000,150,5007,8,0.0707,-64.9854
0.250000,150,5007,16,0.6925,-64.9161
0.250000,150,5007,24,5.7031,-64.6221
0.250000,150,5007,32,14.5994,-64.5431
0.250000,150,5007,40,23.4957,-64.5550
0.250000,150,5007,48,32.3920,-64.5604
0.250000,150,5007,56,41.2882,-64.5625
0.250000,150,5007,64,61.0579,-64.5615
0.250000,150,5007,72,100.0083,-64.5599
0.250000,150,5007,80,100.0471,-64.5259
0.250000,150,5007,88,100.0745,-64.4693
0.250000,150,5007,96,100.1890,-64.0006
0.250000,150,5007,104,100.2850,-63.3894
0.250000,150,5007,112,100.4189,-62.3728
0.250000,150,5007,120,100.4765,-61.9169
0.250000,150,5007,128,100.6100,-60.8945
0.250000,150,5007,136,100.6831,-60.3803
0.250000,150,5007,144,100.9330,-58.9857
0.250000,150,5007,152,101.0630,-58.5123
0.250000,150,5007,160,101.1289,-58.3353
0.250000,150,5007,168,101.5570,-58.0244
0.250000,150,5007,176,102.4185,-60.2539
0.250000,150,5007,184,102.5123,-60.6050
0.250000,150,5007,192,102.6376,-61.0779
0.250000,150,5007,200,102.7186,-61.3809
0.250000,150,5007,208,102.9366,-62.1666
0.250000,150,5007,216,103.2051,-63.0769
0.250000,150,5007,224,103.5131,-64.0179
0.250000,150,5007,232,103.9106,-65.0932
0.250000,150,5007,240,104.1674,-65.6969
0.250000,150,5007,248,104.3395,-66.0658
0.250000,150,5007,256,104.7713,-66.8642
0.250000,150,5007,264,104.9386,-67.1440
0.250000,150,5007,272,105.1508,-67.4723
0.250000,150,5007,280,105.3336,-67.7339
0.250000,150,5007,288,105.3663,-67.7786
0.250000,150,5007,296,105.5991,-68.0553
0.250000,150,5007,304,106.3192,-68.7546
0.250000,150,5007,312,107.8297,-70.1297
0.250000,150,5007,320,108.1724,-70.3865
0.250000,150,5007,328,108.3544,-70.5032
0.250000,150,5007,336,108.6145,-70.6344
0.250000,150,5007,344,108.8420,-70.7174
0.250000,150,5007,352,109.3255,-70.8384
0.250000,150,5007,360,109.5017,-70.8719
0.250000,150,5007,368,109.6315,-70.8868
0.250000,150,5007,376,109.8321,-70.8903
0.250000,150,5007,384,109.9386,-70.8832
0.250000,150,5007,392,109.9812,-70.8776
0.250000,150,5007,400,110.2010,-70.8110
0.250000,150,5007,408,110.6235,-70.6589
0.250000,150,5007,416,110.6911,-70.6421
0.250000,150,5007,424,111.0234,-70.5753
0.250000,150,5007,432,111.3180,-70.5625
0.250000,150,5007,440,111.4412,-70.5689
0.250000,150,5007,448,111.7838,-70.5940
0.250000,150,5007,456,111.8588,-70.6012
0.250000,150,5007,464,112.3370,-70.6425
