angle_deg,synapse_index,onset_time_ms,is_fired
90,16,100.0000,1
90,17,100.0000,1
90,18,120.7050,0
90,19,108.5750,0
90,20,121.2900,0
90,21,112.4900,0
90,22,113.1250,0
90,23,100.0000,1
90,24,100.0000,1
90,25,116.1600,0
90,26,100.0000,1
90,27,100.0000,1
90,28,104.1850,0
90,29,100.3250,0
90,30,104.5500,0
90,31,105.2900,0
90,32,110.0650,0
90,33,100.0000,1
90,34,100.0000,1
90,35,124.2050,0
90,36,100.1450,0
90,37,100.0000,1
90,38,100.0000,1
90,39,115.5600,0
90,40,100.0000,1
90,41,115.8100,0
90,42,100.0000,1
90,43,107.3600,0
90,44,100.5250,0
90,45,100.0000,1
90,46,108.4400,0
90,47,104.7900,0
90,48,118.5450,0
90,49,100.0000,1
90,50,100.0000,1
90,51,102.1200,0
90,52,100.0000,1
90,53,135.9400,0
90,54,107.6500,0
90,55,120.6150,0
90,56,100.2950,0
90,57,100.0000,1
90,58,108.2650,0
90,59,133.4150,0
90,60,104.5850,0
90,61,130.7850,0
90,62,116.8550,0
90,63,100.0000,1
90,64,119.9750,0
90,65,112.7400,0
90,66,127.6600,0
90,67,100.0000,1
90,68,115.5100,0
90,69,111.2750,0
90,70,109.4350,0
90,71,100.0000,1
90,72,106.5750,0
90,73,100.0000,1
90,74,100.0000,1
90,75,107.3150,0
90,76,102.4450,0
90,77,100.0000,1
90,78,100.0000,1
90,79,100.0000,1
90,80,100.0000,1
90,81,100.0000,1
90,82,100.0000,1
90,83,100.0000,1
90,84,108.7900,0
90,85,100.0000,1
90,86,100.0000,1
90,87,100.0000,1
90,88,114.4750,0
90,89,100.0000,1
90,90,100.0000,1
90,91,100.0000,1
90,92,108.1200,0
90,93,100.0000,1
90,94,100.0000,1
90,95,100.0000,1
90,96,118.9600,0
90,97,100.0000,1
90,98,100.0000,1
90,99,100.0000,1
120,0,100.0000,1
120,1,100.0000,1
120,2,123.8586,0
120,3,111.7464,0
120,4,100.0000,1
120,5,100.0000,1
120,6,100.0000,1
120,7,100.0000,1
120,8,100.0000,1
120,9,100.0000,1
120,10,100.0000,1
120,11,100.1117,0
120,12,100.0000,1
120,13,122.3131,0
120,14,100.0000,1
120,15,124.3499,0
120,16,100.0000,1
120,17,100.0000,1
120,18,113.8011,0
120,19,100.0000,1
120,20,119.7302,0
120,21,110.2867,0
120,22,101.9291,0
120,23,100.0000,1
120,24,100.0000,1
120,25,108.2250,0
120,26,101.7983,0
120,27,100.0000,1
120,28,100.0000,1
120,29,100.0000,1
120,30,100.0000,1
120,31,101.3138,0
120,32,111.5490,0
120,33,100.0000,1
120,34,100.0000,1
120,35,115.4796,0
120,36,100.0000,1
120,37,100.0000,1
120,38,100.0000,1
120,39,106.8729,0
120,40,100.0000,1
120,41,109.0819,0
120,42,100.0000,1
120,43,102.0614,0
120,44,100.0000,1
120,45,100.0000,1
120,46,110.5468,0
120,47,100.0000,1
120,48,116.8404,0
120,49,100.0000,1
120,50,100.0000,1
120,51,103.4810,0
120,52,100.0000,1
120,53,125.4575,0
120,54,102.4551,0
120,55,121.4056,0
120,56,100.0000,1
120,57,100.0000,1
120,58,111.5752,0
120,59,125.8257,0
120,60,100.0000,1
120,61,125.2106,0
120,62,114.7044,0
120,63,100.0000,1
120,64,113.1014,0
120,65,101.3582,0
120,66,127.1518,0
120,67,100.0000,1
120,68,104.6296,0
120,69,109.6019,0
120,70,101.2859,0
120,71,100.0000,1
120,72,100.0000,1
120,73,100.0000,1
120,74,100.0000,1
120,75,100.0000,1
120,76,100.0000,1
120,77,100.0540,0
120,78,100.0000,1
120,79,100.0000,1
120,80,100.0000,1
120,81,100.0000,1
120,82,100.0000,1
120,83,100.0000,1
120,84,100.0000,1
120,85,100.0000,1
120,86,100.0000,1
120,87,100.0000,1
120,88,113.8682,0
120,89,100.0000,1
120,90,100.0000,1
120,91,100.0000,1
120,92,110.0721,0
120,93,100.0000,1
120,94,100.0000,1
120,95,100.0000,1
120,96,120.4148,0
120,97,100.0000,1
120,98,100.0000,1
120,99,100.0000,1
150,0,100.0000,1
150,1,100.0000,1
150,2,113.7344,0
150,3,109.9803,0
150,4,100.0000,1
150,5,100.0000,1
150,6,100.0000,1
150,7,100.0000,1
150,8,100.0000,1
150,9,100.4737,0
150,10,100.0000,1
150,11,100.0385,0
150,12,100.0000,1
150,13,113.9275,0
150,14,100.0000,1
150,15,119.4653,0
150,16,100.0000,1
150,17,100.0000,1
150,18,103.1991,0
150,19,100.0000,1
150,20,112.8837,0
150,21,105.3270,0
150,22,100.0000,1
150,23,100.0000,1
150,24,100.0000,1
150,25,100.0000,1
150,26,104.3147,0
150,27,101.0766,0
150,28,100.0000,1
150,29,100.0000,1
150,30,100.0000,1
150,31,100.0000,1
150,32,109.9385,0
150,33,100.0000,1
150,34,100.0000,1
150,35,102.6065,0
150,36,100.0000,1
150,37,100.0000,1
150,38,100.4145,0
150,39,100.0000,1
150,40,100.0000,1
150,41,100.0000,1
150,42,100.0000,1
150,43,100.0000,1
150,44,100.0000,1
150,45,100.0000,1
150,46,109.8275,0
150,47,100.0000,1
150,48,110.6235,0
150,49,100.0000,1
150,50,100.0000,1
150,51,103.9092,0
150,52,100.0000,1
150,53,108.1536,0
150,54,100.0000,1
150,55,116.4606,0
150,56,100.0000,1
150,57,100.0000,1
150,58,111.7838,0
150,59,111.3165,0
150,60,100.0000,1
150,61,112.8810,0
150,62,108.6137,0
150,63,100.0000,1
150,64,102.7172,0
150,65,100.0000,1
150,66,119.3682,0
150,67,104.9283,0
150,68,100.0000,1
150,69,105.3560,0
150,70,100.0000,1
150,71,100.0000,1
150,72,100.0000,1
150,73,100.6536,0
150,74,100.0000,1
150,75,100.0000,1
150,76,100.0000,1
150,77,102.4185,0
150,78,100.1890,0
150,79,100.0000,1
150,80,100.0000,1
150,81,100.0000,1
150,82,100.0000,1
150,83,100.0000,1
150,84,100.0000,1
150,85,100.0000,1
150,86,100.0000,1
150,87,100.0483,0
150,88,109.5455,0
150,89,100.0000,1
150,90,100.0000,1
150,91,100.0000,1
150,92,109.3254,0
150,93,100.0000,1
150,94,101.0494,0
150,95,100.0000,1
150,96,116.3995,0
150,97,100.0000,1
150,98,100.0000,1
150,99,100.0000,1
180,0,100.0000,1
180,1,100.0000,1
180,2,100.0000,1
180,3,105.5400,0
180,4,100.0000,1
180,5,101.7650,0
180,6,100.0000,1
180,7,100.0000,1
180,8,100.0000,1
180,9,103.2750,0
180,10,100.0000,1
180,11,100.0000,1
180,12,106.0600,0
180,13,101.8100,0
180,14,100.0000,1
180,15,109.3650,0
180,16,100.0000,1
180,17,100.0000,1
180,18,100.0000,1
180,19,100.0000,1
180,20,102.5850,0
180,21,100.0000,1
180,22,100.0000,1
180,23,100.0000,1
180,24,100.0000,1
180,25,100.0000,1
180,26,105.6750,0
180,27,105.8100,0
180,28,100.0000,1
180,29,100.0000,1
180,30,100.0000,1
180,31,100.0000,1
180,32,105.6650,0
180,33,100.0000,1
180,34,100.0000,1
180,35,100.0000,1
180,36,100.0000,1
180,37,102.5600,0
180,38,102.8400,0
180,39,100.0000,1
180,40,100.0000,1
180,41,100.0000,1
180,42,100.0000,1
180,43,100.0000,1
180,44,100.0000,1
180,45,102.1900,0
180,46,106.4750,0
180,47,100.0000,1
180,48,101.5600,0
180,49,100.0000,1
180,50,100.0000,1
180,51,103.2900,0
180,52,100.2300,0
180,53,100.0000,1
180,54,100.0000,1
180,55,107.1050,0
180,56,100.0000,1
